category_id,category_name,product_count,Percentage
1804,Graphics,"5,327,561",0.2723225
638,Crafts,"2,670,142",0.1364864
602,Illustrations,"2,100,373",0.1073622
1281,T-shirt Designs,"1,886,399",0.0964248
580,Icons,"898,183",0.0459113
610,Print Templates,"840,913",0.0429839
1841,Transparent PNGs,"680,178",0.0347678
615,Logos,"509,232",0.0260298
608,Backgrounds,"480,804",0.0245767
1826,Patterns,"413,993",0.0211616
604,Patterns,"398,098",0.0203491
1854,AI Illustrations,"376,065",0.0192229
634,Tumbler Wraps,"325,647",0.0166457
897,KDP Interiors,"168,978",0.0086374
609,Graphic Templates,"163,671",0.0083662
1853,AI Graphics,"156,607",0.0080051
605,Product Mockups,"135,173",0.0069095
8,Script & Handwritten,"119,422",0.0061043
2111,T-Shirts,"101,945",0.0052110
1856,AI Transparent PNGs,"100,296",0.0051267
908,Coloring Pages & Books Adults,"73,283",0.0037459
606,Textures,"71,187",0.0036388
1829,AI Generated,"68,312",0.0034918
1858,Coloring Pages,"63,057",0.0032232
611,Product Mockups,"58,299",0.0029800
12,Display,"57,289",0.0029284
584,Layer Styles,"57,110",0.0029192
907,Coloring Pages & Books Kids,"53,712",0.0027455
1833,Sketches,"47,928",0.0024499
906,Coloring Pages & Books,"38,217",0.0019535
2112,Hoodies & Sweatshirts,"36,848",0.0018835
1280,Social Media Templates,"32,474",0.0016599
1857,AI Patterns,"26,376",0.0013482
2031,Decorative Elements,"23,278",0.0011899
2167,Mugs & Cups,"22,873",0.0011692
612,Websites,"22,408",0.0011454
67,Designs & Drawings,"21,758",0.0011122
617,Presentation Templates,"20,529",0.0010494
13,Sans Serif,"20,474",0.0010465
2169,Frames & Posters,"19,582",0.0010009
581,Add-ons,"19,214",0.0009821
582,Actions & Presets,"18,500",0.0009456
2117,Baby & Kids Clothing,"17,522",0.0008957
2357,Wall Decor,"17,517",0.0008954
2223,Christmas & New Year,"16,275",0.0008319
1145,KDP Keywords,"16,243",0.0008303
2365,Winter & Christmas,"15,600",0.0007974
14,Serif,"15,083",0.0007710
27,Christmas,"13,676",0.0006991
583,Brushes,"12,958",0.0006624
1178,Motion Graphics,"12,356",0.0006316
22,Decorative,"11,408",0.0005831
909,Teaching Materials,"10,752",0.0005496
2158,Print Materials Mockups,"10,473",0.0005353
616,Scene Generators,"10,114",0.0005170
2359,Earrings,"9,750",0.0004984
669,Valentine's Day,"9,731",0.0004974
670,Animals,"9,648",0.0004932
597,Nature,"8,961",0.0004580
810,Christmas,"8,729",0.0004462
607,Web Elements,"8,524",0.0004357
2134,Tote Bags,"8,334",0.0004260
2165,Invitations & Greeting Cards,"7,846",0.0004011
2343,Signs,"7,798",0.0003986
1852,AI Coloring Pages,"7,731",0.0003952
41,Summer,"7,603",0.0003886
2412,Shapes,"7,507",0.0003837
613,UX and UI Kits,"7,439",0.0003803
550,Halloween,"7,383",0.0003774
2032,Canva,"7,233",0.0003697
2129,Labels & Stickers,"7,142",0.0003651
811,Halloween,"6,861",0.0003507
2168,Pillows & Cushions,"6,740",0.0003445
32,Quotes,"6,685",0.0003417
2362,Autumn & Halloween,"6,437",0.0003290
2354,Ornaments,"6,336",0.0003239
2029,Shadow Boxes,"6,304",0.0003222
586,Abstract,"6,087",0.0003111
927,Cross Stitch Patterns,"6,046",0.0003090
2363,Spring & Easter,"5,941",0.0003037
622,Landing Page Templates,"5,908",0.0003020
2072,Planners & Schedules,"5,755",0.0002942
36,Wedding,"5,536",0.0002830
564,Fall,"5,533",0.0002828
2224,Halloween,"5,418",0.0002769
911,K,"5,388",0.0002754
645,Color Fonts,"5,286",0.0002702
2113,Tank Tops,"5,281",0.0002699
614,Infographics,"5,265",0.0002691
593,Food & Drinks,"5,220",0.0002668
38,Easter,"5,139",0.0002627
832,Single Flowers & Plants,"5,046",0.0002579
2025,Laser Engraving,"5,027",0.0002570
819,Valentine's Day,"4,940",0.0002525
42,Spring,"4,916",0.0002513
1860,Christmas,"4,817",0.0002462
2053,Posters & Wall Art,"4,758",0.0002432
2348,Valentine's Day,"4,672",0.0002388
11,Dingbats,"4,642",0.0002373
2201,Logo Presentations,"4,441",0.0002270
71,Nature & Outdoors,"4,222",0.0002158
51,School & Teachers,"4,211",0.0002152
2360,Keychains,"4,147",0.0002120
783,Back to School,"4,044",0.0002067
2356,Stands,"4,004",0.0002047
58,Dogs,"3,905",0.0001996
28,Family,"3,691",0.0001887
618,Web Templates,"3,657",0.0001869
698,Food & Drinks,"3,656",0.0001869
910,PreK,"3,582",0.0001831
72,Thanksgiving,"3,562",0.0001821
752,Birds,"3,533",0.0001806
69,Birthday,"3,465",0.0001771
2110,Apparel Mockups,"3,430",0.0001753
2140,Business Cards,"3,340",0.0001707
46,Motivational,"3,115",0.0001592
2358,Other Home Decor,"3,082",0.0001575
754,Cats,"3,039",0.0001553
37,Kids,"2,987",0.0001527
16,Blackletter,"2,966",0.0001516
2170,Canvas & Wall Art,"2,888",0.0001476
1154,Coloring Pages Kids,"2,818",0.0001440
552,Intricate cuts,"2,749",0.0001405
2351,Boxes,"2,742",0.0001402
595,Holidays,"2,661",0.0001360
755,Dogs,"2,645",0.0001352
56,Sports,"2,576",0.0001317
762,Wild Animals,"2,529",0.0001293
2196,Living Rooms & Bedrooms,"2,521",0.0001289
912,1st grade,"2,500",0.0001278
79,Kitchen,"2,488",0.0001272
2148,Smartphones - iPhone,"2,476",0.0001266
710,Pagan,"2,435",0.0001245
2126,Bottles & Jars,"2,410",0.0001232
825,Wedding Monogram,"2,397",0.0001225
588,Architecture,"2,377",0.0001215
2344,Other Art & Design,"2,373",0.0001213
831,Bouquets & Bunches,"2,370",0.0001211
863,Sports,"2,354",0.0001203
926,Crochet Patterns,"2,331",0.0001192
2163,Book & Book Covers,"2,308",0.0001180
751,Baby Animals,"2,278",0.0001164
809,Easter,"2,215",0.0001132
17,Slab Serif,"2,184",0.0001116
753,Bugs & Insects,"2,182",0.0001115
677,Dance & Cheer,"2,174",0.0001111
598,People,"2,167",0.0001108
2189,Cosmetic Bottles & Tubes,"2,146",0.0001097
39,Saint Patrick's Day,"2,143",0.0001095
672,Beauty & Fashion,"2,086",0.0001066
814,Mother's Day,"2,083",0.0001065
649,Awareness,"2,055",0.0001050
2149,Smartphone - Other,"2,005",0.0001025
576,Cats,"2,002",0.0001023
666,Work,"1,984",0.0001014
2225,Valentine's Day,"1,977",0.0001011
642,Travel,"1,959",0.0001001
675,Fairy tales,"1,946",0.0000995
577,Boho,"1,936",0.0000990
789,Fairy Tales,"1,931",0.0000987
63,Steampunk,"1,850",0.0000946
2352,Cake Toppers,"1,850",0.0000946
2285,Tools,"1,768",0.0000904
1859,Holidays,"1,735",0.0000887
